date,admits,weekly_admits,census
2023-09-13,398,2751,2037.28571428571
2023-09-14,420,2735,2032.85714285714
2023-09-15,406,2752,2033.71428571429
2023-09-16,350,2677,2020.57142857143
2023-09-17,375,2695,2009.14285714286
2023-09-18,358,2720,2004
2023-09-19,401,2708,1987.71428571429
2023-09-20,370,2680,1967.14285714286
2023-09-21,344,2604,1939.57142857143
2023-09-22,381,2579,1918.85714285714
2023-09-23,334,2563,1904.42857142857
2023-09-24,295,2483,1883.42857142857
2023-09-25,310,2435,1865
2023-09-26,325,2359,1837.28571428571
2023-09-27,340,2329,1816
2023-09-28,305,2290,1792.57142857143
2023-09-29,297,2206,1759.57142857143
2023-09-30,299,2171,1728.71428571429
2023-10-01,251,2127,1694.14285714286
2023-10-02,223,2040,1652.71428571429
2023-10-03,319,2034,1630.42857142857
2023-10-04,276,1970,1595.71428571429
2023-10-05,281,1946,1577.42857142857
2023-10-06,303,1952,1567.85714285714
2023-10-07,261,1914,1555.28571428571
2023-10-08,287,1950,1552.57142857143
2023-10-09,222,1949,1553.71428571429
2023-10-10,267,1897,1534.57142857143
2023-10-11,247,1868,1519.85714285714
2023-10-12,283,1870,1501.71428571429
2023-10-13,248,1815,1478.57142857143
2023-10-14,239,1793,1457.57142857143
2023-10-15,229,1735,1430.42857142857
2023-10-16,246,1759,1410.42857142857
2023-10-17,265,1757,1397.28571428571
2023-10-18,299,1809,1389.57142857143
2023-10-19,256,1782,1377.14285714286
2023-10-20,274,1808,1366.71428571429
2023-10-21,248,1817,1359.57142857143
2023-10-22,235,1823,1360
2023-10-23,237,1814,1359.85714285714
2023-10-24,237,1786,1355.57142857143
2023-10-25,219,1706,1347.14285714286
2023-10-26,227,1677,1327.57142857143
2023-10-27,203,1606,1312.85714285714
2023-10-28,231,1589,1297.85714285714
2023-10-29,199,1553,1279.57142857143
2023-10-30,226,1542,1258.14285714286
2023-10-31,248,1553,1241.71428571429
2023-11-01,240,1574,1222.42857142857
2023-11-02,242,1589,1219.14285714286
2023-11-03,248,1634,1213.71428571429
2023-11-04,251,1654,1214.28571428571
2023-11-05,224,1679,1222
2023-11-06,222,1675,1236.71428571429
2023-11-07,261,1688,1249.57142857143
2023-11-08,247,1695,1256.57142857143
2023-11-09,243,1696,1271.28571428571
2023-11-10,291,1739,1291.42857142857
2023-11-11,275,1763,1309
2023-11-12,277,1816,1324.42857142857
2023-11-13,247,1841,1335
2023-11-14,299,1879,1350.57142857143
2023-11-15,306,1938,1380.14285714286
2023-11-16,288,1983,1407.28571428571
2023-11-17,294,1986,1429.71428571429
2023-11-18,293,2004,1449.42857142857
2023-11-19,285,2012,1468.85714285714
2023-11-20,279,2044,1493.14285714286
2023-11-21,228,1973,1508.85714285714
2023-11-22,286,1953,1521.57142857143
2023-11-23,307,1972,1525.14285714286
2023-11-24,291,1969,1528.42857142857
2023-11-25,346,2022,1545.28571428571
2023-11-26,337,2074,1567.71428571429
2023-11-27,338,2133,1590.71428571429
2023-11-28,379,2284,1623.57142857143
2023-11-29,341,2339,1656.85714285714
2023-11-30,371,2403,1689.71428571429
2023-12-01,360,2472,1716
2023-12-02,389,2515,1730.28571428571
